episode,seed,total_reward,length,landed,meets_threshold,final_x,final_y,main_engine_firings,side_engine_firings
0,2024,280.4915,305,1,1,-0.0123,-0.0008,135,114
1,2025,282.1063,286,1,1,0.0089,-0.0009,140,92
2,2026,246.9378,311,1,1,-0.0128,-0.0011,143,116
3,2027,294.5175,327,1,1,0.0264,-0.0009,148,82
4,2028,273.4826,310,1,1,0.0505,-0.0010,150,108
5,2029,264.3516,284,1,1,0.0256,-0.0009,147,88
6,2030,253.6232,289,1,1,-0.0248,-0.0013,143,93
7,2031,283.5958,330,1,1,0.0420,-0.0011,145,125
8,2032,283.9796,297,1,1,-0.0168,-0.0010,134,104
9,2033,305.4134,267,1,1,-0.0218,-0.0013,132,90
10,2034,233.2838,294,1,1,0.0120,-0.0011,144,96
11,2035,264.7402,317,1,1,0.0496,-0.0011,150,112
12,2036,263.7962,306,1,1,-0.0099,-0.0001,144,109
13,2037,251.8267,292,1,1,0.0133,-0.0012,144,99
14,2038,266.4838,291,1,1,0.0177,-0.0001,148,95
15,2039,256.8499,317,1,1,-0.0019,-0.0008,146,122
16,2040,237.3307,302,1,1,0.0304,-0.0010,141,107
17,2041,244.0499,282,1,1,0.0208,-0.0011,147,87
18,2042,287.8989,306,1,1,0.0123,-0.0010,146,94
19,2043,268.4891,283,1,1,-0.0344,-0.0011,140,93
20,2044,248.0838,286,1,1,0.0187,-0.0013,150,89
21,2045,225.5316,289,1,1,-0.0069,-0.0013,139,102
22,2046,276.0190,280,1,1,0.0002,-0.0004,142,79
23,2047,291.5469,264,1,1,-0.0702,-0.0010,144,71
24,2048,255.7594,324,1,1,-0.0262,-0.0005,147,123
25,2049,269.8599,294,1,1,0.0294,-0.0010,137,114
26,2050,241.4232,323,1,1,0.0952,-0.0009,150,113
27,2051,260.1785,323,1,1,0.0117,-0.0013,148,115
28,2052,233.0172,297,1,1,-0.0279,-0.0013,143,106
29,2053,242.5245,307,1,1,0.0151,-0.0001,155,109
30,2054,274.5248,310,1,1,-0.0076,-0.0010,142,110
31,2055,263.9800,293,1,1,0.0558,-0.0011,141,97
32,2056,262.4872,283,1,1,0.0485,-0.0009,143,85
33,2057,298.2790,289,1,1,0.0166,-0.0006,150,86
34,2058,236.9625,304,1,1,-0.0304,-0.0008,139,100
35,2059,266.5626,306,1,1,-0.0498,-0.0011,138,117
36,2060,279.6960,327,1,1,0.0780,-0.0007,145,129
37,2061,257.7395,327,1,1,0.0422,-0.0010,142,129
38,2062,269.2978,318,1,1,-0.0088,-0.0001,146,99
39,2063,263.1133,337,1,1,0.0377,-0.0011,144,121
40,2064,261.3373,300,1,1,-0.0236,-0.0010,139,104
41,2065,289.7254,321,1,1,0.0356,-0.0011,144,104
42,2066,250.2197,283,1,1,0.0170,-0.0002,144,87
43,2067,295.8912,309,1,1,0.0178,-0.0010,135,120
44,2068,246.0073,282,1,1,0.0097,-0.0009,140,96
45,2069,292.9523,286,1,1,-0.0245,-0.0005,141,111
46,2070,298.0891,310,1,1,-0.0240,-0.0013,141,113
47,2071,280.1532,292,1,1,0.0275,-0.0010,137,101
48,2072,289.1139,293,1,1,0.0634,-0.0013,150,81
49,2073,230.0121,304,1,1,-0.0001,-0.0013,149,94
50,2074,267.6866,283,1,1,-0.0254,-0.0010,143,91
51,2075,274.6079,308,1,1,-0.0411,-0.0013,142,100
52,2076,263.4546,310,1,1,-0.0222,-0.0010,147,101
53,2077,234.2362,310,1,1,0.0362,-0.0010,137,105
54,2078,250.2337,309,1,1,0.0681,-0.0007,144,103
55,2079,231.1522,295,1,1,0.0302,0.0005,142,90
56,2080,261.3969,279,1,1,-0.0198,-0.0002,138,94
57,2081,283.4226,333,1,1,0.0128,-0.0010,147,109
58,2082,238.6490,318,1,1,0.0309,-0.0005,147,107
59,2083,280.6144,288,1,1,-0.0047,-0.0008,135,102
60,2084,249.1498,300,1,1,0.0163,-0.0004,148,101
61,2085,236.9639,305,1,1,0.0352,0.0002,144,98
62,2086,257.0022,302,1,1,-0.0088,-0.0008,139,112
63,2087,265.1536,313,1,1,-0.0139,-0.0013,148,110
64,2088,160.8258,1000,0,0,0.0435,-0.0002,151,466
65,2089,300.7683,283,1,1,-0.0020,-0.0008,138,80
66,2090,255.4689,302,1,1,0.0597,-0.0010,147,105
67,2091,287.3059,310,1,1,-0.0485,-0.0013,144,114
68,2092,290.1873,327,1,1,0.0177,-0.0007,153,100
69,2093,297.1688,290,1,1,-0.0076,-0.0008,153,73
70,2094,290.0315,319,1,1,-0.0252,-0.0005,143,110
71,2095,262.4259,305,1,1,-0.0885,-0.0003,135,124
72,2096,273.0027,281,1,1,-0.0204,-0.0010,141,86
73,2097,237.7769,288,1,1,-0.0059,-0.0004,138,106
74,2098,256.1298,306,1,1,-0.0144,-0.0005,150,116
75,2099,258.5935,311,1,1,0.0575,-0.0006,146,98
76,2100,271.5067,285,1,1,0.0478,-0.0009,147,93
77,2101,267.8303,311,1,1,0.0052,-0.0009,149,84
78,2102,262.9402,313,1,1,0.0355,-0.0010,152,93
79,2103,242.3002,300,1,1,-0.0106,-0.0007,146,110
80,2104,250.9337,290,1,1,-0.0415,-0.0013,146,86
81,2105,280.0357,308,1,1,0.0008,-0.0011,148,93
82,2106,238.4433,321,1,1,-0.0369,-0.0007,139,111
83,2107,269.4314,309,1,1,0.0522,-0.0003,149,96
84,2108,269.0520,335,1,1,0.0636,-0.0011,149,117
85,2109,272.7923,284,1,1,-0.0247,-0.0012,144,81
86,2110,268.5779,288,1,1,0.0289,-0.0009,140,97
87,2111,122.7814,1000,0,0,0.0384,-0.0007,148,496
88,2112,257.3727,297,1,1,-0.0300,-0.0003,144,103
89,2113,276.6809,283,1,1,-0.0284,-0.0012,140,89
90,2114,255.6849,287,1,1,0.0354,-0.0012,149,89
91,2115,291.1135,317,1,1,0.0020,-0.0011,134,108
92,2116,220.4133,285,1,1,-0.0310,-0.0005,137,105
93,2117,275.2965,275,1,1,-0.0245,-0.0011,140,91
94,2118,135.2338,1000,0,0,0.0309,-0.0009,149,489
95,2119,279.5132,284,1,1,0.0071,-0.0011,139,90
96,2120,297.6488,314,1,1,0.0111,-0.0011,136,120
97,2121,270.0632,326,1,1,-0.0282,-0.0004,150,115
98,2122,265.0687,291,1,1,0.0354,-0.0012,149,83
99,2123,282.1885,325,1,1,0.0765,-0.0003,158,98
