timesteps,ep_rew_mean,ep_rew_std,ep_len_mean
2000,-219.21803246666664,109.16366878581205,92.2
4000,-179.5024495833333,97.08512986996546,90.55555555555556
6000,-190.0934973392857,103.49413653037608,92.96428571428571
8000,-196.6249234625,111.05776694673443,91.8375
10000,-185.58780381,108.51135025785614,92.56
12000,-186.43557152999998,112.23845469889511,91.83
14000,-181.16654148999996,117.05213125249628,91.46
16000,-166.88510277999995,115.6338720357181,90.88
18000,-159.71071022,111.37154893019127,91.49
20000,-167.33266462,115.37347964591673,93.22
22000,-170.72443000999996,116.32649431760103,94.72
24000,-173.19406913,115.21435762727292,94.84
26000,-175.76297060999997,103.58330725324267,94.56
28000,-174.92476465,94.51562488010295,94.1
30000,-169.72444592999997,95.68651322167375,92.39
32000,-163.19545466000002,96.39198841455803,91.78
34000,-162.95741798,100.76520393853772,92.78
36000,-157.52475983,100.96010925034716,92.76
38000,-150.9353208,102.0766395247518,93.7
40000,-153.64914289,95.35160683292617,95.62
42000,-152.01315043000002,91.74993595387998,96.92
44000,-151.64885217,88.53593627047826,97.8
46000,-153.08770644000003,89.87943854906403,97.91
48000,-149.21681218,89.29273559742747,96.74
50000,-144.63389773,85.70757301659653,95.29
52000,-137.66873968,81.73115853026947,103.18
54000,-126.35537350999999,81.55021760697716,98.68
56000,-120.43117342999999,69.49486039808447,99.52
58000,-115.14599602999999,57.11158278708036,99.78
60000,-115.7241879,55.18630728779179,100.27
62000,-122.72268312,60.17379588119644,92.15
64000,-127.52889989,56.5823230914735,93.88
66000,-132.78642566,60.457700129904794,96.05
68000,-134.56965759000002,64.70326791138966,97.41
70000,-132.51709842,64.67926257589909,100.16
72000,-122.86782826999999,62.162452181417216,100.03
74000,-116.79525910000002,55.665160062044514,100.01
76000,-108.66293723999999,50.38088643558357,103.1
78000,-102.39622731000001,46.577722472285984,102.61
80000,-102.26182560999997,48.15765638366257,101.85
82000,-102.86935798999997,49.47563213303752,100.69
84000,-95.86828013999998,54.87030127724055,111.23
86000,-93.22204069,52.87820086311503,107.92
88000,-94.43671221999999,54.07783593174919,108.77
90000,-88.33160297999999,51.30257068369557,108.38
92000,-82.03131446000002,46.58665515516056,109.75
94000,-83.5774886,41.378726813470024,97.91
96000,-85.82489119,42.37282806764617,99.06
98000,-82.66978269,39.61143062792273,98.84
100000,-80.39979771,40.55506651142884,97.35
102000,-74.18161017,37.42782997396607,99.94
104000,-68.91698652000001,39.150113582403286,102.48
106000,-62.10966909999999,36.92539594109793,104.87
108000,-55.618376209999994,31.894352493158117,106.12
110000,-49.81736492,29.11322901520096,108.17
112000,-51.34871485000001,30.88462873215089,106.57
114000,-52.95024474000001,30.12045987280852,105.37
116000,-53.63738423999999,30.075749537959716,105.94
118000,-55.44724448,32.37107434080684,106.13
120000,-50.50386187,34.32393246090936,109.4
122000,-50.23705639999999,36.294728869379114,112.31
124000,-50.17970388,36.22855374598107,113.16
126000,-46.13307883999999,34.95656143000679,115.1
128000,-44.960310959999994,35.43038839119211,125.27
130000,-39.89956449,33.30108251630476,125.43
132000,-40.982692390000004,33.74475911938121,123.51
134000,-40.81428149999999,34.18498341117088,131.97
136000,-39.209984340000005,33.4606699333354,133.82
138000,-37.907896220000005,34.53803880152592,125.1
140000,-33.97662796,33.89123108748471,125.9
142000,-32.33307181,33.730887188053565,127.11
144000,-31.349383020000005,32.92837799993938,131.23
146000,-31.10456749,30.305139308501808,121.06
148000,-31.03017519,30.745397939763635,122.08
150000,-27.4632061,30.401357698389827,124.77
152000,-26.07226905,30.934893702851454,128.23
154000,-25.386123439999995,32.005903305188724,129.26
156000,-24.732478420000003,30.547388764567064,128.97
158000,-19.63391695,35.17932666980714,131.9
160000,-17.74395399,35.837494847676005,136.23
162000,-14.911370309999997,34.34689186921904,137.73
164000,-15.81491994,34.89922623780063,138.12
166000,-16.19420671,34.04601373179983,138.05
168000,-16.24640504,34.761400930648485,137.24
170000,-15.334781650000002,34.69387537064896,137.11
172000,-14.89537986,33.664775009314965,137.36
174000,-13.28992394,35.04547576151406,147.13
176000,-12.312294650000004,35.36440886030179,164.74
178000,-10.14953668,37.30519073189469,191.59
180000,-9.38288509,37.32636032440432,192.54
182000,-11.225232599999996,44.096709108154194,211.63
184000,-9.53066345,41.02611717882765,228.02
186000,-8.69974376,41.23430928066936,244.31
188000,-6.8689738600000005,43.21407036422291,255.12
190000,-5.0705305,44.00210178617892,262.93
192000,-5.834008359999998,46.12644348741022,267.21
194000,-2.557271519999999,45.340372781358035,267.56
196000,-2.3268554600000004,45.44756492778576,268.01
198000,0.3190380000000001,46.60294301514177,287.59
200000,0.956115640000001,47.77137867466474,305.77
202000,2.094604960000001,48.05898839210137,306.37
204000,0.6848594600000011,48.930553838662114,291.21
206000,0.8827379300000004,48.88354953312491,293.21
208000,1.64522559,48.198228709116194,292.85
210000,2.3563649,49.71318572930342,303.26
212000,6.601888409999999,43.68785047411268,295.48
214000,4.82397164,43.05576627684383,286.69
216000,7.90496658,45.62736990554364,321.37
218000,7.90496658,45.62736990554364,321.37
220000,6.20346649,47.80098917666554,331.28
222000,7.987466490000002,49.079413079295804,348.04
224000,8.893961090000001,48.69652513538819,339.94
226000,9.795456300000001,47.4426565545882,330.3
228000,10.599167149999998,49.17095740175416,365.35
230000,14.656584169999999,51.05377833940015,383.06
232000,16.784413280000003,50.99307137586625,409.91
234000,17.7907142,50.578310030100475,412.69
236000,15.297675800000002,51.92697032418315,422.78
238000,17.148385640000004,52.52113062280935,431.34
240000,17.00262216,52.49018080406719,431.25
242000,17.00262216,52.49018080406719,431.25
244000,16.22778793,57.81219476333458,443.25
246000,17.339450319999997,59.242022974777555,460.04
248000,19.944824360000002,59.913950745142586,476.72
250000,21.869109680000005,60.935601876480625,494.29
252000,23.684788249999997,61.72517117761239,511.56
254000,24.35991592,61.47645518868146,520.59
256000,24.35991592,61.47645518868146,520.59
258000,24.35991592,61.47645518868146,520.59
260000,24.46902958,63.830573119426134,538.04
262000,27.454996910000006,64.66221600197522,554.48
264000,29.195328010000004,65.40759853958966,562.81
266000,30.863571009999998,67.77890292456851,582.82
268000,32.62431803,67.19714813286457,591.47
