timesteps,median,q25,q75,min,max,n_runs
10000,-181.4174,-187.7644,-177.1286,-192.4362,-172.2035,5
20000,-176.1463,-177.5605,-169.2585,-184.3625,-154.2367,5
30000,-156.7772,-158.4518,-140.6301,-169.2275,-139.3625,5
40000,-147.4333,-148.4582,-142.4553,-156.2768,-140.1535,5
50000,-136.6842,-142.0092,-131.7121,-162.4138,-128.1709,5
60000,-123.6124,-129.5586,-120.9032,-145.5032,-112.8835,5
70000,-121.7984,-125.3086,-115.7456,-147.3879,-113.9718,5
80000,-109.6307,-118.1970,-101.6400,-131.6165,-99.3889,5
90000,-102.1293,-106.1210,-98.7891,-118.5871,-95.2367,5
100000,-89.1395,-107.3876,-86.1005,-113.8115,-82.8470,5
110000,-69.7331,-80.3043,-66.6351,-100.6381,-64.2874,5
120000,-74.6790,-76.6492,-60.9205,-101.5882,-57.1120,5
130000,-57.3104,-67.1098,-51.6225,-96.1686,-46.0913,5
140000,-52.0809,-52.9076,-40.6518,-77.0452,-34.1091,5
150000,-39.3330,-40.8485,-37.0794,-58.4250,-24.2653,5
160000,-21.9280,-28.7215,-19.3934,-45.1031,-18.8482,5
170000,-22.6384,-26.2498,-15.5896,-38.8241,-8.1051,5
180000,-14.9561,-21.2832,-12.5321,-25.7246,-2.6991,5
190000,-10.8858,-13.0758,-9.9890,-16.1456,1.6182,5
200000,-11.3279,-12.4919,-7.0482,-12.8068,5.2827,5
210000,-4.1235,-10.3137,-1.4894,-10.8660,5.5904,5
220000,-4.3595,-5.6353,0.0906,-15.1590,10.7838,5
230000,6.8594,-1.8669,8.4990,-22.6288,12.5297,5
240000,11.4460,3.3184,12.3115,-20.8091,12.8312,5
250000,17.1841,11.3280,17.5876,-8.1445,17.7625,5
260000,17.0502,11.2401,20.4431,-6.4341,24.6932,5
270000,16.3494,10.8748,25.4631,1.9989,31.3724,5
280000,15.7516,14.2809,34.2830,12.5370,35.0653,5
