timesteps,elapsed_seconds,ep_rew_mean,ep_rew_std,ep_len_mean
1008,0.078,-146.68566,57.739002000000006,60.5
2000,0.156,-170.69539680000005,79.0573574451494,85.13333333333334
3008,0.25,-156.4108485555556,89.504455301231,85.22222222222223
4000,0.359,-155.2356097647059,86.61581024992688,86.88235294117646
5008,0.469,-184.39161198000002,108.98797278256082,90.34
6000,0.562,-181.32913954385967,109.44509675779264,89.21052631578948
7008,0.656,-186.44328587142854,112.36850291119234,90.2
8000,0.766,-184.07272805063292,108.12850075966456,89.9620253164557
9008,0.859,-179.33159842391302,106.3280224625996,90.43478260869566
10000,2.281,-177.12857947999998,106.27773697907192,90.52
11008,2.375,-181.67238858999997,113.20141838121195,90.62
12000,2.469,-182.04339664,114.41531443143836,91.26
13008,2.594,-183.21169314,113.47647711992457,91.5
14000,2.687,-171.90835299999998,113.34055857666104,90.55
15008,2.766,-179.36384798,119.075981439399,91.57
16000,2.844,-174.07942903000003,116.56160085099239,91.35
17008,6.547,-174.72820078,116.43721296103658,90.99
18000,6.641,-179.12111787,114.44317225303735,91.32
19008,6.734,-176.97680349,110.59111078528763,92.09
20000,7.109,-177.56045123,111.68563337082841,93.44
21008,7.187,-172.93403010999998,105.19675751480445,92.76
22000,7.266,-170.73818881000003,107.64657349314118,92.64
23008,7.359,-167.02990109,106.20649550322183,93.6
24000,7.453,-159.4554107,89.61634205980147,94.31
25008,7.531,-151.90254386999996,85.69135541296362,94.7
26000,7.625,-146.99862025000002,82.23540832023208,94.02
27008,7.719,-136.44967950999998,86.26712290167929,93.68
28000,7.828,-141.17498058000004,93.70791182490035,95.1
29008,7.937,-139.65477796,95.21480108031139,94.52
30000,8.469,-140.63005927,92.75491013303068,95.39
31008,8.594,-140.95061877999999,89.58410534909055,93.19
32000,8.703,-142.22533828,90.30100704687909,90.27
33008,12.797,-143.09939274,89.0716997086749,89.71
34000,12.922,-148.33146101,87.39717376572129,89.54
35008,13.047,-148.36251306,87.3972687101146,90.61
36000,13.187,-152.15161884,75.28679823779083,90.41
37008,13.328,-147.27767051,70.51939971398828,88.79
38000,13.453,-148.46101002999998,68.71971956723394,89.13
39008,13.547,-137.87035309,68.76780673275871,88.31
40000,16.062,-142.45531995,77.91709190787304,88.34
41008,16.203,-144.57407809999998,75.61258207053652,90.41
42000,16.312,-144.22098091,77.41417849098684,89.95
43008,16.422,-138.49426511000001,79.26519276015338,90.72
44000,16.516,-138.3622559,78.85688373635362,89.71
45008,16.625,-134.10710565,79.17656633678178,89.33
46000,16.719,-136.36332800000002,81.37340632843365,90.9
47008,16.828,-133.68029035,80.61652325427791,89.78
48000,16.922,-137.69776425999999,78.84124884966809,90.59
49008,17.016,-131.36397902000002,66.09222031755279,91.18
50000,28.453,-136.68417323,70.59085462530929,91.8
51008,28.547,-130.23710317,68.11921710503229,91.76
52000,28.625,-131.4573044,62.96167138502739,91.01
53008,28.734,-130.74516258,65.333210556701,91.41
54000,28.828,-133.7224294,65.31970145063359,91.04
55008,28.922,-129.21375731,59.65225954515098,92.06
56000,29.016,-126.68486218000002,58.05805473731523,91.85
57008,29.094,-124.65334275999997,56.629100680057945,91.57
58000,29.172,-122.49923768,58.58620602521656,91.07
59008,29.266,-116.13325732999999,48.62087551731691,89.72
60000,32.797,-120.90323246999998,52.07457867296315,89.37
61008,32.906,-120.93974867000001,56.38354755146811,90.79
62000,33.0,-118.95983617000002,55.927851383342805,91.14
63008,33.094,-119.09646542,60.53772695407779,90.43
64000,33.203,-118.28243157000003,61.340268750417096,91.65
65008,33.312,-117.90464997,61.54178060973636,89.75
66000,36.812,-120.01149038,61.03219096553108,91.11
67008,36.937,-120.96476229,60.9726216563992,91.26
68000,37.078,-121.10818114,62.69163159999569,91.06
69008,37.203,-117.41174144,63.852711516311565,92.38
70000,42.156,-113.97175560999999,63.466607663336205,92.65
71008,42.297,-109.92611340000002,59.72813201456895,92.49
72000,42.422,-108.58444822999999,57.4637733961553,92.71
73008,42.562,-100.28503968999998,45.10567803592621,91.79
74000,42.687,-97.55104029,47.3290210200211,100.46
75008,42.797,-96.40587934999999,45.71140481278918,101.02
76000,42.906,-99.04204309,48.558238705944646,101.32
77008,43.031,-99.44641173999999,49.60220706920597,103.17
78000,43.141,-97.76342811999999,45.71613854060268,104.37
79008,43.25,-97.09747655000001,42.508242625346,102.44
80000,47.625,-99.38889579,41.65196099055732,102.57
81008,47.75,-103.45045239,43.28141161486252,103.34
82000,51.453,-103.93022647,44.626291437841125,102.56
83008,51.578,-105.67904245,43.29016997042994,103.85
84000,51.734,-105.76552542999998,43.92200692823579,94.74
85008,51.828,-103.14484627999998,48.42022495326483,105.48
86000,51.922,-97.96293902000001,45.80762081522055,104.95
87008,52.016,-97.82768439,45.59192573961642,105.04
88000,52.094,-95.60448965999998,43.69708046836282,105.28
89008,52.187,-94.78138288999999,42.977339034614005,105.66
90000,60.203,-95.23670693,42.345888279607884,106.62
91008,60.281,-95.07800324,44.87722091369199,106.82
92000,60.375,-94.34176275,43.29676557678532,107.49
93008,60.5,-92.52995100000003,42.788953431570356,106.85
94000,60.594,-92.91603433999998,41.32863102125651,108.53
95008,60.687,-95.55514898,37.54488293995621,98.2
96000,60.781,-93.45062372000001,37.691708313723296,98.77
97008,60.891,-93.43080974,38.35650251482925,98.63
98000,61.0,-93.84670263000004,38.85792672975727,97.49
